city,avg_comp,num_jobs,latitude,longitude
Hahira,201000,1,30.9906,-83.3714
Dallas Center,195000,1,41.6844,-93.9608
Elk Grove,222000,1,38.4383,-121.3819
Iselin,85000,1,40.5693,-74.3211
San Marcos,220000,1,33.1395,-117.1612
Tracy,88000,1,37.7381,-121.4339
Deerfield,84000,1,42.1683,-87.8514
Sammamish,388000,1,47.6089,-122.0422
Oldsmar,90000,1,28.0419,-82.6764
Rialto,106000,1,34.0995,-117.3747
Wayne,130000,1,40.0439,-75.3878
Oxford,115000,1,34.3597,-89.5261
Suwanee,70000,1,34.0575,-84.0666
Pensacola,198000,1,30.4069,-87.2176
Garner,61000,1,35.6983,-78.6228
Bloomington,209000,1,39.1622,-86.5292
Liverpool,77000,1,43.1033,-76.2067
Pelham,50000,1,42.7344,-71.3244
Dublin,121000,1,40.1092,-83.1403
Shawnee Mission,212000,1,39.0200,-94.6658
Berwyn,148000,1,40.0456,-75.4394
Cypress,98000,1,33.8243,-118.0457
Temecula,60000,1,33.5033,-117.1236
Indian Lake,100000,1,43.7825,-74.2654
Mountain View,270000,1,35.8686,-92.1176
West Orange,143000,1,40.7858,-74.2651
Clearfield,70000,1,41.1064,-112.0242
Denver City,120000,1,32.9686,-102.8311
Valdosta,62000,1,30.8467,-83.2831
Hayward,115000,1,37.6721,-122.0840
Franklin,76000,1,42.8992,-88.0022
Martinsburg,80000,1,39.4592,-77.9678
Berlin,77000,1,31.0675,-83.6236
Kalamazoo,125000,1,42.2900,-85.5858
Inwood,80000,1,39.3578,-78.0397
Columbia,86000,1,34.0093,-81.0371
Butte,124000,1,46.0128,-112.5356
Monroe,83000,1,32.5008,-92.1112
Rio Rancho,120000,1,35.2861,-106.6706
Fresno,135000,1,36.7317,-119.7859
Van Nuys,75000,1,34.1847,-118.4465
Mesa,90000,1,33.4152,-111.8315
Arvada,160000,1,39.8200,-105.1111
Rahway,186000,1,40.6060,-74.2775
Placerville,185000,1,38.7297,-120.7991
Lindon,85000,1,40.3386,-111.7161
Steubenville,251000,1,40.3500,-80.6167
Fall River,163000,1,41.7014,-71.1556
Germantown,125000,1,39.1833,-77.2667
Sabinsville,38000,1,41.8668,-77.5240
Vacaville,150000,1,38.3539,-121.9728
Suitland,150000,1,38.8486,-76.9244
Reedsville,75000,1,40.6625,-77.5958
Bolivia,76000,1,34.0692,-78.1478
Eatontown,210000,1,40.3046,-74.0597
Burnsville,88000,1,44.7621,-93.2758
Traverse City,197000,1,44.7591,-85.6055
West Hollywood,345000,1,34.0907,-118.3718
Nebraska City,40000,1,40.6767,-95.8589
Mahwah,73000,1,41.0827,-74.1875
South Bend,110000,1,41.6725,-86.2553
Plymouth,125000,1,45.0106,-93.4556
Endicott,110000,1,42.1031,-76.0547
Collierville,75000,1,35.0544,-89.6823
Cape Girardeau,87000,1,37.3092,-89.5464
Egypt,90000,1,35.8675,-90.9453
Loveland,122000,1,40.3944,-105.0706
Paterson,300000,1,40.9147,-74.1628
Jamaica Beach,85000,1,29.1823,-94.9723
Waterloo,145000,1,34.9168,-88.0642
West Chester,82000,1,39.3451,-84.3957
Spokane,60000,1,47.6589,-117.4250
Michigan Center,78000,1,42.2331,-84.3272
Englewood Cliffs,149000,1,40.8897,-73.9420
Columbus,107000,1,32.4922,-84.9403
La Jolla,300000,1,32.8400,-117.2769
Hauppauge,73000,1,40.8183,-73.2069
North Haven,82000,1,41.3817,-72.8583
Abingdon,173000,1,39.4620,-76.2790
Fort Bragg,135000,1,35.1392,-78.9992
Hopewell,169000,1,40.3892,-74.7620
Sorrento,272000,1,28.8078,-81.5636
Fountain Inn,74000,1,34.6933,-82.1986
Highland Park,480000,1,40.5008,-74.4279
Crapo,102000,1,38.3169,-76.1141
Tustin,213000,1,33.7397,-117.8136
Bossier City,57000,1,32.5178,-93.6914
Miramar,78000,1,25.9738,-80.3236
Annandale,60000,1,38.8342,-77.2114
Peachtree City,100000,1,33.3990,-84.5706
Farmington,130000,1,41.7278,-72.8403
Shingle Springs,181000,1,38.6619,-120.9427
Worcester,375000,1,42.2667,-71.8000
